amfi_code,requested_scheme,api_scheme_name,date,nav,source_url,fetched_at
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-06-02,246.8566,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-06-01,246.9814,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-29,248.6673,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-27,251.2273,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-26,251.2702,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-25,249.2266,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-22,247.8039,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-21,248.8853,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-20,244.7199,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-19,241.6771,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-18,241.2615,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-15,242.0952,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-14,243.5314,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-13,240.0746,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-12,238.1528,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-11,242.7219,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-08,244.6201,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-07,245.6055,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-06,245.3878,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-05,242.9594,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-05-04,242.7655,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-30,240.5353,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-29,242.345,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-28,242.6241,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-27,241.2517,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-24,238.1456,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-23,239.7583,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-22,238.5702,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-21,236.4598,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
120841,Kotak Bluechip,quant Mid Cap Fund - Growth Option - Direct Plan,2026-04-20,235.1961,https://api.mfapi.in/mf/120841,2026-06-03T23:37:55
